kdrama_name,recommendations
A Shoulder to Cry On,"['Semantic Error', 'We Best Love: No. 1 For You', 'Dangerous Romance', 'Utsukushii Kare', 'The Tasty Florida', 'At a Distance, Spring Is Green']"
My Sister,
Woman in a Veil,"['Gold Mask', 'A Man in a Veil', 'Bad Love', 'Golden Pouch', 'Gangnam Scandal', 'Second Husband']"
Pandora: Beneath the Paradise,"['Undercover', 'Misty', 'The Penthouse Season 2: War in Life', 'The Penthouse Season 3: War in Life', 'Trolley', 'The Penthouse: War in Life']"
The Glory Part 2,"['The Glory', 'My Name', 'Better Days', 'The Penthouse: War in Life', 'Military Prosecutor Doberman', 'Lawless Lawyer']"
Our Dating Sim,"['Semantic Error', 'Individual Circumstances', 'The New Employee', 'Blueming', 'Roommates of Poongduck 304', 'Plus & Minus']"
Oasis,"['Youth of May', 'Sandglass', 'Save Me', 'My Country: The New Age', 'The Attorney', 'Endless Love']"
Divorce Attorney Shin,"['Legal Mavericks', 'Extraordinary Attorney Woo', 'Lawless Lawyer', 'The Law Cafe', 'Isharyou Bengoshi - Anata no Namida, Okane ni Kaemashou']"
All the Liquors,"['The New Employee', 'Roommates of Poongduck 304', 'Our Dating Sim', 'Cheers to Me', '≥75℃', 'See You After Quarantine?']"
Delivery Man,"['Bring It On, Ghost', 'Missing: The Other Side', 'May I Help You', ""The Master's Sun"", 'From Now On, Showtime!', 'Taxi Driver']"
Island Part 2,"['Island', 'Alchemy of Souls', 'Alchemy of Souls Season 2: Light and Shadow', 'Hellbound', 'Bulgasal: Immortal Souls', 'Tale of the Nine-Tailed']"
Call It Love,"['My Mister', 'My Liberation Notes', 'One Spring Night', 'Just Between Lovers', 'When the Weather Is Fine', 'The Smile Has Left Your Eyes']"
Taxi Driver Season 2,"['Vincenzo', 'Taxi Driver', 'Player', 'Avengers Social Club', 'Leverage', 'The Goddess of Revenge']"
Big Bet Season 2,
The Heavenly Idol,"['Her Private Life', ""Angel's Last Mission: Love"", 'So I Married an Anti-Fan', 'Imitation', 'Idol: The Coup', 'Kokdu: Season of Deity']"
Love to Hate You,"['A Business Proposal', 'Crash Course in Romance', 'Hyena', 'Secret Garden', 'So I Married an Anti-Fan', 'Sh**ting Stars']"
Our Blooming Youth,"['The Forbidden Marriage', 'Haechi', 'The Red Sleeve', 'The Golden Hairpin', ""The King's Affection"", ""Under the Queen's Umbrella""]"
Something Unique,
Decoy: Part 1,"['Big Bet', 'Shadow Detective', 'The Good Detective']"
Kokdu: Season of Deity,"['From Now On, Showtime!', 'Goblin', 'A Korean Odyssey', 'The Heavenly Idol', 'Doom at Your Service', 'Black']"
Our D-Day,['Definitely Not Today']
Individual Circumstances,"['Blueming', 'Lovely Writer', 'The Tasty Florida', 'Happy Ending Romance', 'Our Dating Sim', 'Jun & Jun']"
