kdrama_name,recommendations
Pachinko,"['The Story of Ming Lan', 'Snowy Road', 'Birthday Letter', 'Eyes of Dawn', 'The Hymn of Death', 'Our Blues']"
Hope or Dope,"['Extracurricular', 'Weak Hero Class 1', 'The Great Shaman Ga Doo Shim', 'A Model Family', 'Juvenile Justice', 'Hope or Dope 2']"
Soundtrack #1,"['You Drive Me Crazy', 'Our Beloved Summer', 'Romance Is a Bonus Book', ""I Don't Love You Yet"", 'Nevertheless,', 'Fight for My Way']"
The King of Pigs,"['Mouse', 'The Glory', 'The Bad Kids', 'Weak Hero Class 1', 'Revenge of Others', 'Strangers from Hell']"
Two Universes,
Blue of Winter,"['Mr. Heart', 'Semantic Error']"
International Student Haha Introduction,
A Superior Day,"['Strangers from Hell', 'Mouse', 'Duel', 'Hello Missfortune', 'Gap Dong']"
Kill Heel,"['Mine', 'Miss Buyer', 'Search: WWW', 'Cleaning Up']"
Crazy Love,"['A Business Proposal', 'Crash Course in Romance', 'Her Private Life', 'The Secret Life of My Secretary', ""What's Wrong with Secretary Kim"", 'Introverted Boss']"
Ply Friends: Seoyeon University Class of '22,
Life After One Minute,
A Business Proposal,"[""What's Wrong with Secretary Kim"", 'The Secret Life of My Secretary', 'True Beauty', 'Her Private Life', 'Crazy Love', 'Strong Woman Do Bong Soon']"
Military Prosecutor Doberman,"['D.P.', 'Lawless Lawyer', 'Vincenzo', 'My Name', 'Search', 'The Devil Judge']"
A Day of Dating,
Love (ft. Marriage and Divorce) Season 3,
Juvenile Justice,"['D.P.', 'Law School', 'Extracurricular', 'My Name', 'The Devil Judge', 'Miss Hammurabi']"
Cherry Blossoms After Winter,"['Light on Me', 'Semantic Error', 'First Love Again', 'To My Star', 'Color Rush', 'Hold Me']"
Sponsor,['Call Boy']
Oh! Boarding House,"['Behind Cut', 'Light on Me', 'To My Star', 'Love Class', 'Roommates of Poongduck 304', 'Ocean Likes Me']"
Cinema Club,
Tracer Season 2,"['Numbers', 'Dandarin Rodo Kijun Kantokukan', 'Stranger', 'Tracer']"
I Have Not Done My Best Yet,"['Uncle', 'Never Give Up', 'Mad for Each Other', 'Desperate Mr. X']"
Woof & Meow – Do you Love Me?,
Semantic Error,"['Our Dating Sim', 'To My Star', 'Cherry Blossoms After Winter', 'Bad Buddy', 'Light on Me', 'Where Your Eyes Linger']"
Thirty-Nine,"['Be Melodramatic', 'Search: WWW', 'Fabulous 30', '20th Century Boy and Girl', 'Ex-Girlfriend Club', 'Now, We Are Breaking Up']"
Grid,"['Circle', 'Alice', 'Sisyphus: The Myth', '365: Repeat the Year', 'Kairos', 'Life on Mars']"
Twenty-Five Twenty-One,"['Weightlifting Fairy Kim Bok Joo', 'Rookie Cops', 'Reply 1988', 'Our Beloved Summer', 'Start-Up', '20th Century Girl']"
Forecasting Love and Weather,"['Search: WWW', 'Find Yourself', 'Okaeri Mone', 'She Would Never Know', 'Something in the Rain', 'Romance Is a Bonus Book']"
Civil Service Exam Student,
First Love Again,['I Have a Lover']
Kissable Lips,"['Roommates of Poongduck 304', 'Peach of Time', 'My Broccoli', 'The Sweet Blood', 'Orange Marmalade', 'Vampire Flower']"
Do You Want to Eat?,
All of Us Are Dead,"['Kingdom', 'Happiness', 'Sweet Home', 'Train to Busan', 'Dark Hole', 'Revenge of Others']"
Rookie Cops,"['Twenty-Five Twenty-One', 'Police University', 'Weightlifting Fairy Kim Bok Joo', 'Age of Youth', 'Cheer Up', 'Live']"
Yeokkeuni Season 3,
Color Rush Season 2,['Color Rush']
"Don't Lie, Rahee","['Be My Boyfriend', 'Love Is Forbidden Here', ""Master's Delicacies"", 'User Not Found']"
Through the Darkness,"['Criminal Minds', 'Mouse', 'The Raincoat Killer: Chasing a Predator in Korea', 'Missing Noir M', 'Team Bulldog: Off-duty Investigation', 'Signal']"
Dr. Park’s Clinic,"['Marriage Contract', 'Hometown Cha-Cha-Cha', 'The Game Caterers Special', 'Pegasus Market', 'The Sound of Your Heart', 'Eulachacha Waikiki']"
"No, Thank You Season 2",
Tracer,"['Vincenzo', 'Numbers', 'Tracer Season 2', '38 Task Force', 'Payback: Money and Power', 'Good Manager']"
The Best Day,
You & It,
I'm Done,
Ghost Doctor,"['Please Come Back, Mister', 'Bad and Crazy', 'Oh My Ghost', 'Two Cops', 'A Single Rider', 'The Soul-Mate']"
Her Bucket List,
The Man's Voice,['Make a Wish']
Time of Memory,"['Devilish Joy', 'Find Me in Your Memory']"
Behind Cut,"['Oh! Boarding House', 'To My Star', 'Blueming', 'Bite Me']"
Best Mistake Season 3,['Light on Me']
I'm Watching You,
The Silent Sea,"['Hoshi Shinichi no Fushigina Fushigina Tanpen Dorama', 'Space Sweepers', 'Seobok', 'The Game Caterers Season 2', 'Ambergris', 'SF8: Baby It’s Over Outside']"
Love & Wish,['Shadow Beauty']
Tinted With You,"['Splash Splash LOVE', ""Nobleman Ryu's Wedding"", 'Legend of Yun Qian', 'Love for Two Lives', 'Emperor or General', 'Love in Spring']"
The One and Only,"['The Smile Has Left Your Eyes', 'If You Wish Upon Me', 'Just Between Lovers', 'Doom at Your Service', 'Missing: The Other Side', 'Lion no Oyatsu']"
Moonshine,"['Secret Royal Inspector & Joy', 'Tamra, The Island', 'My Sassy Girl', 'Poong, the Joseon Psychiatrist', 'Love in the Moonlight', 'Two Cops']"
Cheongchunhyang Jeon,
Wanna Sleepover Season 2,
Snowdrop,"['Youth of May', 'Crash Landing on You', 'Kill It', 'Mr. Sunshine', 'Vagabond', 'The Bridal Mask']"
Bulgasal: Immortal Souls,"['Alchemy of Souls', 'Goblin', 'Island', 'Hotel del Luna', 'Duang Jai Nai Montra', 'Black']"
Bad and Crazy,"['Ghost Doctor', 'Psychopath Diary', 'Hello Monster', 'Taxi Driver', 'Kill Me, Heal Me', 'Military Prosecutor Doberman']"
To.Two,"['Extracurricular', 'Shadow Beauty']"
Pumpkin Time,"['DNA Says Love You', 'Yell for the Blue Sky', 'Great Men Academy', 'Waiting for Spring', 'Miss Captain', 'Kojinsa Arimasu']"
I Want to Live an Easy Life,
The World of My 17 Season 2,"['Love Teenager', 'Twenty-Twenty', 'Best Mistake', 'The World of My 17', 'A-Teen', 'A-Teen Season 2']"
Love Twist,"['No Matter What', 'Left-Handed Wife']"
Uncle,"['Move to Heaven', 'Oh My Geum Bi', 'I Have Not Done My Best Yet', 'Rose Mansion']"
"The King of Tears, Lee Bang Won","['Six Flying Dragons', 'My Country: The New Age']"
A DeadbEAT's Meal,
Casting a Spell to You,"['Oh My Ghost', 'Over the Rainbow']"
Midnight Thriller,
Artificial City,"['Mine', 'Eve', 'Iribito']"
My 100th Election,
Artificial Intelligence Hamlet,
Our Beloved Summer,"['Lovestruck in the City', 'Twenty-Five Twenty-One', 'Hometown Cha-Cha-Cha', 'When the Weather Is Fine', 'Le Coup de Foudre', 'Flat']"
Dear My Girlfriend,
User Not Found,"['True Beauty', 'Perfume', 'High School Debut', 'A-Teen', ""Don't Lie, Rahee"", 'Best Mistake']"
The One Serving House,
Heart Way,
Show Window: The Queen's House,"['The World of the Married', 'High Class', 'The Penthouse: War in Life', 'Eve', 'Cheat On Me, if You Can', 'V.I.P']"
Mr. Lee,
One Ordinary Day,"['Big Mouth', 'Mouse', 'Prison Playbook', 'Flower of Evil', 'Defendant', 'Insider']"
Friend and Kiss,"['First Love in High School', 'A Beauty of Revenge', 'Who Stole My Kiss']"
School 2021,"['School 2017', 'Moment at Eighteen', 'A Love So Beautiful', 'At a Distance, Spring Is Green', 'School 2013', 'True Beauty']"
Shadow Beauty,"['True Beauty', 'Extracurricular', 'My ID Is Gangnam Beauty', 'User Not Found', 'To.Two', 'Who Are You: School 2015']"
We Are Alone,
Hellbound,"['Save Me', 'Sweet Home', 'Dark Hole', 'Island', 'Death Note', 'The King of Pigs']"
Part-time Mello,
Beginning,
"Fly, Again",['Imitation']
The Red Sleeve,"['Moon Lovers: Scarlet Heart Ryeo', 'One and Only', 'Dong Yi', 'Yi San', 'Queen for Seven Days', 'The Throne']"
The Mysterious Class,"['Whispering Corridors', ""It's Okay, That's Friendship"", 'Treasure Winter Camp In Everland']"
Adult Trainee,"['Growing Season', 'Kiss Scene in Yeonnamdong', '9 End 2 Outs', 'Sh**ting Stars', 'Hit the Spot', 'So I Married an Anti-Fan']"
"Now, We Are Breaking Up","['She Would Never Know', 'Nevertheless,', 'Cruel Love', 'Encounter', 'Forecasting Love and Weather', 'Search: WWW']"
Delivery,['Strongest Deliveryman']
Political Fever,
Melancholia,"['Chugakusei Nikki', 'Doctors', 'Lesson in Love', 'SKY Castle', 'Why Her?', 'Lost']"
Find Me if You Can,"['Rumor', 'I Have Three Boyfriends']"
Not Found Love,
Idol: The Coup,"['Imitation', 'Miss Back', 'Dream High', 'The Heavenly Idol', 'Just Dance', 'The Greatest Love']"
Secret Royal Inspector & Joy,"['Secret Royal Inspector', 'Moonshine', 'Bring It On, Ghost', 'Poong, the Joseon Psychiatrist', 'Joseon Attorney: A Morality', '100 Days My Prince']"
Let Me Be Your Knight,"['Sh**ting Stars', ""You're Beautiful"", 'A Business Proposal', 'Imitation', 'Cinderella and the Four Knights', 'Fabulous Boys']"
Happiness,"['Sweet Home', 'All of Us Are Dead', '#Alive', 'Train to Busan', 'Kingdom', 'Search']"
"Life of Jung, Lee, Ro, and Woon",
Zero Ability for Dating,
Dr. Brain,"['Mouse', 'Flower of Evil', 'The Top Secret: Murder in Mind', 'Memorist', 'He Is Psychometric', 'Dr. Frost']"
Armored Saurus,
The Birth of a Nation,
Inspector Koo,"['Nobody Knows', ""The Killer's Shopping List"", 'Signal', 'Less Than Evil', 'I Saw the Devil', 'Life Special Investigation Team']"
Chimera,"['Mouse', 'Beyond Evil', 'The Guest', 'Awaken', 'WATCHER', 'Through the Darkness']"
Moebius: The Veil,['My Name']
Crime Puzzle,"['Insider', 'Through the Darkness', 'Beyond Evil', 'Big Mouth', 'Save Me', 'Save Me Season 2']"
Heartbeat Broadcasting Accident,['Pure Melo District']
Would You Like a Cup of Coffee?,"['Nishiogikubo Mitsuboshi Youshudou', 'Recipe for Farewell', 'Coffee Ikaga Deshou', 'Coffee Shop', 'You Are the Cream in My Coffee', 'Salon De Nabi']"
Jirisan,"['Forest', 'The First Responders', 'Bulgasal: Immortal Souls', 'Hunter', 'Signal', 'Missing: The Other Side']"
"Work Later, Drink Now","['Be Melodramatic', 'Age of Youth', 'Avengers Social Club', 'Pegasus Market', 'Drinking Solo', 'Twenty-Five Twenty-One']"
My Sweet Dear,"['Where Your Eyes Linger', 'Dating in the Kitchen', 'You Make Me Dance', 'To My Star', 'The Tasty Florida', 'Light on Me']"
Bite Sisters,"['Hotel del Luna', 'Touch Me if You Can']"
Yeokkeuni Season 2,
My Ahjussi Kkon Dae Hee,
Youtuber Class Season 2,
My Name,"['The Villainess', 'Weak Hero Class 1', 'The Glory', 'Kill It', 'Extracurricular', 'The K2']"
Your Playlist,
Me and My Grantopia,
Focus to You 3,
Reflection of You,"['Misty', 'The World of the Married', 'Eve', 'The Glory', 'Lost', 'La Dolce Vita']"
I Don't Care,
The King's Affection,"['The Tale of Nokdu', 'The Crowned Clown', 'Sungkyunkwan Scandal', 'Moon Embracing the Sun', 'The Painter of the Wind', 'Love in the Moonlight']"
Dalgona Season 2,
Real Siblings,
I Ate Well Today,
Peng,"[""Go Ho's Starry Night""]"
Jinx,"['Jinxed at First', 'Fukou-kun wa Kiss Suru Shikanai!']"
A Beauty of Revenge,"['Drama Stage Season 3: Everyone Is There', ""Why I've Changed From a Good Student to a Popular Girl"", 'Friend and Kiss', 'Sweet Revenge', 'A Suspicious Transfer Student Came']"
The All-Round Wife,"[""It's Beautiful Now"", 'What Happens to My Family?']"
Mumul Zzumul,
The Moment the Heart Shines,"['Love Buffet', 'Parfait Tic']"
Young Lady and Gentleman,"['Prime Minister and I', 'My Only One', 'The Spring Day of My Life', 'Parasite', 'Marn Bang Jai', 'Five Enough']"
The Tasty Florida,"['You Make Me Dance', 'Bite Me', 'My Sweet Dear', 'To My Star 1 (Movie)', ""Master's Delicacies"", ""Cupid's Kitchen""]"
Dali and the Cocky Prince,"['A Business Proposal', ""What's Wrong with Secretary Kim"", 'Do Do Sol Sol La La Sol', 'Her Private Life', ""It's Okay to Not Be Okay"", 'Shopping King Louie']"
Hometown,"['Save Me', 'Somebody', 'The Guest', 'Cure', 'Trap', 'Awaken']"
Welcome to the Sandbox,
Squid Game,"['Imawa no Kuni no Alice', 'As the Gods Will', 'Liar Game', 'Battle Royale', 'Liar Game', 'Die Now']"
Yumi's Cells,"['Our Beloved Summer', ""It's Okay to Not Be Okay"", 'Touch Your Heart', ""Yumi's Cells Season 2"", 'Start-Up', 'Eulachacha Waikiki']"
The Veil,"['Awaken', 'Kill It', 'My Name', 'Vagabond', 'The K2', 'City Hunter']"
One the Woman,"['Mr. Queen', 'Mask', 'Good Casting', 'The Fiery Priest', 'I Have a Lover', 'My Lethal Man']"
Straight Sassy,
Can You Deliver Time? 2002,"[""I Don't Want to Be Friends With You"", 'My Perfect Stranger']"
Love in Black Hole,
Some Air,
High Class,"[""Green Mothers' Club"", 'The Penthouse: War in Life', 'SKY Castle', 'Flower of Evil', 'Remarriage and Desires', ""Show Window: The Queen's House""]"
Mokkoji Kitchen,"['Falling in Love', 'La Cuisine', 'My Sweet Dear', ""Master's Delicacies"", 'The Tasty Florida', 'Gourmet in Tang Dynasty']"
Lost,"['My Liberation Notes', 'My Mister', 'Better Days', 'Just Between Lovers', 'April Snow', 'Melancholia']"
Translation-needed Love Season 3,
You Raise Me Up,"['Hit the Spot', 'Just Between Lovers', 'Kakafukaka', 'Love Clinic', 'Thirty But Seventeen', 'Jealousy Incarnate']"
No One Special,
Lovers of the Red Sky,"['Love in the Moonlight', 'Alchemy of Souls', 'Alchemy of Souls Season 2: Light and Shadow', 'Moon Embracing the Sun', 'The Painter of the Wind', 'Gu Family Book']"
Peach of Time,"['Coffee Melody', 'Kissable Lips', 'Ghost Love', 'Ghostderella', 'Spellbound', 'Arang and the Magistrate']"
The Guys I Want to Catch,
Hometown Cha-Cha-Cha,"['When the Camellia Blooms', 'Once Upon a Small Town', ""It's Okay to Not Be Okay"", 'Crash Landing on You', 'Summer Strike', 'Our Blues']"
D.P.,"['Weak Hero Class 1', 'Move to Heaven', 'Military Prosecutor Doberman', 'Prison Playbook', 'Extracurricular', 'Black Stone']"
Horror Mailbox,
Don't Worry Apricot,
Check Out the Event,"['The Package', 'W.H.Y.']"
My Lovely Caffeine,
Idol and I,"['Be My Boyfriend', 'Unusual Idol Love']"
Police University,"['Rookie Cops', ""You're All Surrounded"", 'Law School', 'Live', 'Police College Whirlwind', 'To the Beautiful You']"
Second Husband,"['The Promise', 'Lie After Lie', 'Gold Mask', 'Secret', 'Fated to Love You', 'Yellow Boots']"
The Road: The Tragedy of One,"['Misty', 'Mine']"
The Great Shaman Ga Doo Shim,"['From Now On, Showtime!', 'Sell Your Haunted House', 'Moorim School', 'The Uncanny Counter', 'Hope or Dope', 'Bring It On, Ghost']"
2021 Summer Drama Collage: Monster Mansion,
Someday Office,
Blue Birthday,"['Someday or One Day', 'Blue Birthday', 'Operation Proposal', 'Manhole', 'Orange', 'First Love Again']"
Focus to You 2,
The Witch's Diner,"['Hotel del Luna', 'Handmade Love', 'Mystic Pop-Up Bar', ""Witch's Love"", 'xxxHolic', 'Midnight Museum']"
Love On Live,
The World of CC,
Our First: Seventeen,
You Are My Spring,"['When the Camellia Blooms', 'Run On', ""It's Okay to Not Be Okay"", 'Another Miss Oh', 'Find Me in Your Memory', 'Dinner Mate']"
Red Shoes,"['Make a Wish', 'Golden Garden', 'Flames of Desire']"
The Devil Judge,"['Vincenzo', 'Taxi Driver', 'Flower of Evil', 'Beyond Evil', 'Again My Life', 'The Penthouse: War in Life']"
Meeting Plaza,
Re-Feel: If Only,
Light on Me,"['Cherry Blossoms After Winter', 'Utsukushii Kare', 'Color Rush', 'Semantic Error', 'True Beauty', 'At a Distance, Spring Is Green']"
I'm Not a  Loser,
On the Verge of Insanity,"['Misaeng: Incomplete Life', 'Kkondae  Intern', 'Hot Stove League', 'Good Manager']"
"Nevertheless,","['Tempted', 'Cheese in the Trap', 'Love Alarm', 'Before We Get Married', 'Watashitachi wa Douka Shiteiru', 'The World of the Married']"
Voice Season 4: Judgment Hour,['Voice Season 3: City of Accomplices']
So Not Worth it,"['Eulachacha Waikiki', 'Seoul Searching', 'Age of Youth', 'Big Picture House', 'Single & Ready to Mingle', 'Ainori: Asian Journey Season 1']"
Genesis,"['Duel', 'Orphan Black: Nanatsu no Idenshi']"
Hospital Playlist Season 2,"['Dr. Romantic', 'Prison Playbook', 'Racket Boys', 'The Oath of Love', 'Reply 1988', ""Kids' Lives Matter""]"
Romanced,"['XX', 'Nevertheless,', 'Romance, Talking', 'My Fuxxxxx Romance']"
Monthly Magazine Home,"['Hometown Cha-Cha-Cha', 'Her Private Life', ""What's Wrong with Secretary Kim"", 'Drinking Solo', 'Crazy Love', 'Lucky Romance']"
On the Turf,
Yunseul,
"At a Distance, Spring Is Green","['Dear.M', 'Weak Hero Class 1', 'Cheese in the Trap', 'True Beauty', 'My ID Is Gangnam Beauty', 'Love All Play']"
Love (ft. Marriage and Divorce) Season 2,
Starting Point of Dating,
No Bother Me,"['A-Teen', 'Twenty-Twenty', 'Real:Time:Love']"
The Penthouse Season 3: War in Life,"['The Penthouse: War in Life', 'SKY Castle', 'Mine', 'The Penthouse Season 2: War in Life', 'Graceful Family', ""We Don't Bite: Villains in the Countryside""]"
Next Door Witch J,
Youth Again,
Racket Boys,"['Twenty-Five Twenty-One', 'Reply 1988', 'Hikaru no Go', 'Love All Play', 'Hometown Cha-Cha-Cha', 'Hot Stove League']"
Return Love,
"Shh, Please Take Care of Him",
My Roommate Is a Gumiho,"['Doom at Your Service', 'Goblin', 'Gu Family Book', 'My Girlfriend Is a Gumiho', 'Tale of the Nine-Tailed', 'Perfect and Casual']"
Mad for Each Other,"['The Happy Loner', ""It's Okay to Not Be Okay"", ""It's Okay, That's Love"", 'When the Camellia Blooms', 'Extraordinary Attorney Woo', 'You Are My Spring']"
Here's My Plan,"['Extracurricular', 'How to Buy a Friend', 'My Mister', 'Definitely Not Today', ""It's Okay to Not Be Okay"", 'Itaewon Class']"
Company Romance,
Move to Heaven,"['D.P.', 'Extraordinary Attorney Woo', 'Navillera', 'dele', 'Tomorrow', ""It's Okay to Not Be Okay""]"
SM Culture Universe: aespa,
I:LOVE:DM,
Doom at Your Service,"['My Roommate Is a Gumiho', 'Goblin', ""Angel's Last Mission: Love"", 'Tale of the Nine-Tailed', 'Abyss', 'Hi Bye, Mama!']"
Sometoon 2021,
Mine,"['The Penthouse: War in Life', 'Woman of Dignity', 'SKY Castle', 'The Penthouse Season 3: War in Life', 'Artificial City', 'Graceful Family']"
Imitation,"['Top Management', 'Idol: The Coup', 'Hit the Top', 'Miracle', 'Dream High', 'So I Married an Anti-Fan']"
Artist Disappearance Case,
Focus to You,
Youth of May,"['Mr. Sunshine', 'Snowdrop', 'Twenty-Five Twenty-One', 'When My Love Blooms', 'A Business Proposal', 'Reincarnation Love']"
Bossam: Steal the Fate,"['100 Days My Prince', 'The Story of Ming Lan', 'Haechi', 'Maids', 'River Where the Moon Rises', 'Rebel: Thief Who Stole the People']"
Girlfriend in The Men's Group,
So I Married an Anti-Fan,"['Sh**ting Stars', 'Love to Hate You', 'I Hear You', 'So I Married an Anti-Fan', 'Imitation', 'Suspicious Partner']"
Dark Hole,"['Sweet Home', 'All of Us Are Dead', 'Monstrous', 'Save Me', 'The Uncanny Counter', 'Hellbound']"
Love #Hashtag,
Global Travel Agency Gaboiso,
Just Friend,['Wednesday 3:30 PM']
Undercover,"['Flower of Evil', 'I Have a Lover', 'Pandora: Beneath the Paradise', 'Designated Survivor: 60 Days', 'Kill It', 'Black']"
College Life That Everyone Wants,
To Me to You,
Nice Na Ik Soo,
School of Start,
Nobleman Ryu's Wedding,"['Tinted With You', 'Where Your Eyes Linger', 'A Crimson Mark', 'Color Rush', 'A Frozen Flower', 'Mr. Heart']"
Law School,"[""Solomon's Perjury"", 'The Devil Judge', '365: Repeat the Year', 'Why Her?', 'Juvenile Justice', 'CHIP-IN']"
Sell Your Haunted House,"['Hotel del Luna', 'Mystic Pop-Up Bar', 'Tomorrow', ""The Master's Sun"", 'A Korean Odyssey', 'From Now On, Showtime!']"
My Love: Six Stories of True Love,"[""My Love, Don't Cross That River""]"
Translation-needed Love Season 2,
Amor Fati,['Love Actually']
Wanna Sleepover,['Touch Me if You Can']
Taxi Driver,"['Vincenzo', 'The Devil Judge', 'The Uncanny Counter', 'The Guardians', 'Player', 'Lawless Lawyer']"
Bio Homme,"['A Romance of the Little Forest', 'Dear My Room']"
Dramaworld Season 2,['Dramaworld']
Heart.zip,
Love Campus,
Take It or Leave It,
Summer Guys,
Be My Dream Family,"['Glorious Day', 'Five Enough', 'Once Again', 'My Husband Got a Family', 'Marry Me Now', 'Family']"
The Secret of the Grand Mansion: The Missing Girls,
Scripting Your Destiny,"[""Angel's Last Mission: Love"", 'Doom at Your Service', 'Goblin', 'Extraordinary You', 'Kiss Goblin', 'Shining for One Thing']"
Time to Be Together 1:11,
The Sweet Blood,"['Blood', 'Vampire Flower', 'Kissable Lips', 'Scent of Love', 'The Vampires', 'Orange Marmalade']"
Oh My Ladylord,"['About Time', 'Now, We Are Breaking Up', 'Because This Is My First Life', 'Love The Way You Are', 'Meow, the Secret Boy', 'Another Miss Oh']"
Deoksaeng Reversal,
Translation-needed Love,
Navillera,"['Move to Heaven', 'Dear My Friends', 'Twenty Again', 'Miss Granny', 'You Make Me Dance', 'Lost']"
Joseon Exorcist,"['Six Flying Dragons', 'Kingdom', 'Dark Hole', 'The Guest', 'Bulgasal: Immortal Souls', 'Kingdom: Ashin of the North']"
Somehow Family,
"Yum Yum, How Tasty! 2",
Recipe for Youth,
Revolutionary Sisters,['My Father Is Strange']
Love Alarm Season 2,"['Love Alarm', 'My Holo Love', 'Cheese in the Trap', 'Nevertheless,', 'Unexpected Heroes', 'Legally Romance']"
Secret Friend,
"It's Okay, That's Friendship","['The Mysterious Class', 'Treasure Winter Camp In Everland']"
Tickle Tickle,
Mouse,"['Flower of Evil', 'Psychopath Diary', 'The King of Pigs', 'One Ordinary Day', 'Beyond Evil', 'Big Mouth']"
Nickname Pine Leaf,
You Make Me Dance,"['To My Star', 'Where Your Eyes Linger', 'Wish You: Your Melody From My Heart', 'The Tasty Florida', 'Long Time No See', 'Navillera']"
Must You Go?,"['Splash Splash LOVE', ""Queen In Hyun's Man"", 'Love for Two Lives', 'Emperor or General', 'Gourmet in Tang Dynasty', 'My Only Love Song']"
Be My Boyfriend,"['Sh**ting Stars', 'Best Mistake', 'Love Revolution', 'Idol and I', 'My Romantic Some Recipe', 'Click Your Heart']"
How to Be Thirty,"['Be Melodramatic', 'Search: WWW', 'I Need Romance Season 3', 'To All The Guys Who Loved Me', 'I Need Romance', 'Ending Again']"
"Breakup Probation, A Week","['One More Time', 'HIStory1: Obsessed', 'Blue Birthday']"
I Know Because I've Tried It,
Vincenzo,"['Lawless Lawyer', 'The Fiery Priest', 'The Devil Judge', 'Taxi Driver', 'Big Mouth', 'Hyena']"
Times,"['Grid', 'Kairos', 'The Call', 'A Day', 'The Phone', 'Sisyphus: The Myth']"
Beyond Evil,"['Mouse', 'Nobody Knows', 'Link: Eat, Love, Kill', 'The Devil Judge', 'Tunnel', 'WATCHER']"
The Penthouse Season 2: War in Life,"['The Penthouse: War in Life', 'The Penthouse Season 3: War in Life', 'Class of Lies', 'SKY Castle', ""We Don't Bite: Villains in the Countryside"", 'The World of the Married']"
High! Touch,
Re: Search,
The Girls Double Life,
"Hello, Me!","['Crash Course in Romance', '18 Again', 'Parallel Love', 'Do Do Sol Sol La La Sol', 'Go Back Couple', 'Our Times']"
Sisyphus: The Myth,"['The King: Eternal Monarch', 'Grid', 'Alice', ""God's Gift: 14 Days"", 'Vagabond', 'Happiness']"
River Where the Moon Rises,"['My Country: The New Age', 'My Only Love Song', 'Mr. Sunshine', 'The Tale of Nokdu', 'Jumong', 'Six Flying Dragons']"
Miss Monte-Cristo,"[""Don't Hesitate"", 'Glass Mask', 'Second Husband', 'Thorn Flower', 'The Last Empress', 'The Count of Monte-Cristo: Great Revenge']"
I  Can See Your MBTI,"['Maybe, Maybe Not', ""What's Your Blood Type?"", 'Embrace Across Time']"
Case Cell Division,
Love Scene Number,"['The Table', 'Search: WWW', 'Nevertheless,', 'Be Melodramatic', 'The World of the Married', 'Because This Is My First Life']"
L.U.C.A.: The Beginning,"['Awaken', 'Rugal', 'Circle', 'Bulgasal: Immortal Souls', 'The Witch: Part 1. The Subversion', 'Sisyphus: The Myth']"
"Nineteen, Logout",
Save Me Oldie,['Today Office Tomorrow Romance']
Replay: The Moment When It Starts Again,['To. Jenny']
Convenience Store Fling,"['Backstreet Rookie', '7 First Kisses', 'Triple Fling', 'Click Your Heart']"
Love (ft. Marriage and Divorce),"['The World of the Married', 'Love Affairs in the Afternoon', 'Nothing But Thirty', 'Red Balloon', 'Secret Love Affair', 'One Spring Night']"
Rudyteen,
To My Star,"['Semantic Error', 'You Make Me Dance', 'Where Your Eyes Linger', 'Color Rush', 'To My Star Season 2: Our Untold Stories', 'Blueming']"
Nara's Marvelous Days,
A Double Table,
She Would Never Know,"['Something in the Rain', 'Now, We Are Breaking Up', 'One Spring Night', 'Forecasting Love and Weather', 'Encounter', 'I Hear Your Voice']"
Club Room B102,
A Good Supper,['Pure Pumpkin Flower']
100% Era,['Back to the 2008']
Back to the 2008,"['Go, Back Diary', '100% Era']"
Damn Good Company,
Part-time Student,
Color Rush,"['To My Star', 'GO Into Your Heart', 'Light on Me', 'Mr. Heart', 'Dear My Name', 'We Best Love: No. 1 For You']"
The Man of My Life,
A Love So Beautiful,"['A Love So Beautiful', 'Itazura na Kiss: Love in Tokyo', 'School 2021', 'Kiss Me', 'Playful Kiss', 'Wait, My Youth']"
Youtuber Class,['Dating Class']
Star With a Secret,"['The Beauty Inside', 'Love Me in Three Days', 'The Director Who Buys Me Dinner', 'The Beauty Inside', 'Duang Jai Nai Montra']"
Can I Step In?,
Half-Fifty,
Lovestruck in the City,"['Our Beloved Summer', 'Because This Is My First Life', 'Fight for My Way', 'Hometown Cha-Cha-Cha', 'The Law Cafe', 'The Package']"
One Fine Week Season 2,['One Fine Week']
Secret Royal Inspector,"['Mr. Queen', 'Secret Royal Inspector & Joy', 'Lovers of the Red Sky', 'Love in the Moonlight', 'Joseon Attorney: A Morality', 'Miss Truth']"
300 Year-Old Class of 2020,"['Rooftop Prince', 'Must You Go?', ""Queen In Hyun's Man"", 'Live Up to Your Name', 'Moon Lovers: Scarlet Heart Ryeo', 'Sungkyunkwan Scandal']"
Lululala Pawn Shop,
Sweet Home,"['Imawa no Kuni no Alice', 'Happiness', 'Dark Hole', 'All of Us Are Dead', 'Strangers from Hell', 'Kingdom']"
Love Teenager,"['The World of My 17 Season 2', 'A-Teen', 'A-Teen Season 2', 'Twenty-Twenty']"
Run On,"['Because This Is My First Life', 'Be Melodramatic', 'Hometown Cha-Cha-Cha', 'Into the Ring', ""It's Okay, That's Love"", 'Summer Strike']"
The Dolphin in the Little Mermaid,"['Wednesday 3:30 PM', 'My Fated Boy', 'Falling in Love', 'A River Runs Through It', 'Lovely Us', 'Drama Special Season 8: If We Were A Season']"
Mr. Queen,"['Go Princess, Go!', 'Moon Lovers: Scarlet Heart Ryeo', 'The Romance of Tiger and Rose', 'Please Come Back, Mister', ""Queen In Hyun's Man"", 'The Tale of Nokdu']"
Color Prison,
